state_name,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty Rate,Unemployment rate,Personal income,State Minimum Wage,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Food Stamp/SNAP Recipients,SSI recipients,Medicaid beneficiaries,WIC participation,SBP Total Participation,Fraction of the Year ACA Expansion
AK,2,2018,2736,143890.22995811346,0.2651180521045007,257074.51902433473,0.4686218871160468,291024.02488084615,0.9878220571870197,122028.25107294721,0.4228184538529946,48692.89464885906,0.4279403682601138,735139,13.1,6.5,44369600,9.84,19.23322,12.74586,5.61445,91995,12528,198729,17092,27001,1
AK,2,2019,3000,138937.86084701223,0.26088009882269453,233518.79267336204,0.4234823714093839,284774.06845196686,0.9827672896495794,106407.73331545678,0.3766114421256676,41918.406611394515,0.38828193159210367,731545,10.2,6.1,45945100,10.19,15.90393,10.51467,5.05913,78932,12468,204493,15978,26946,1
AK,2,2020,3635,111165.23732598657,0.21529582541745734,235518.4426167751,0.4382816428850592,268184.17599466775,0.9780762344934515,99721.21604737133,0.37617379065458917,27553.508974030276,0.3149776675103017,733017,13.4,8.3,45375800,10.19,18.69134,9.55016,3.99181,83194,12434,221897,15235,17718,1
AK,2,2021,5391,140241.29621084398,0.2712115883431184,172918.76708871903,0.3352217792107815,291926.1445024846,0.9876667625094786,88454.37200447271,0.3139268897907013,38437.518908071346,0.34308647439139095,734420,11.4,6.4,48327100,10.34,18.56996,10.71995,1.91486,82888,11791,240010,14551,3367,1
AK,2,2022,5593,147092.59169641547,0.29336097057012955,172900.34937208763,0.34105830020568195,298073.28397131263,0.9883539218275288,87325.58942558676,0.30643931021921933,39761.12332787054,0.35025382953669176,734442,9.6,4.3,50793700,10.34,18.58634,11.70765,5.88849,92119,11373,253535,13761,26245,1
AK,2,2023,5859,170831.87161395623,0.30068597334069774,179164.2481454185,0.31702342628361024,338185.190615219,0.9865731364632812,92770.63330086187,0.28655558362335937,41804.45736254458,0.3107695163016531,736510,10.1,4.2,53322000,10.85,24.54494,13.80309,7.78478,54002,10758,251929,13806,21835,1
AK,2,2024,5484,158637.13039243608,0.2952315790737941,168712.46529122497,0.312743863614411,328453.6974613651,0.990201968972276,90244.93634512037,0.2880685635113287,41917.445567725736,0.3224602323553947,740133,9.4,4.6,56423100,11.73,27.61407,18.55333,7.62437,68261,10351,244456,14319,22143,1
NA,2,2025,95,1433.1196605750808,0.25826851533328865,1859.3537348112789,0.2997758122833694,3522.2902580310483,1,1158.9159460166904,0.34881629320870206,321.3677520518278,0.31257686976253346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,4,2017,15228,1379012.1805765973,0.2727452743385554,2032584.635338824,0.38516177190483314,2936820.2311682184,0.9754874169887178,1015912.8692759454,0.348697313463244,429652.8602483812,0.3625667366609337,7044008,13.2,4.9,300007500,10,23.50124,14.390319999999999,6.79021,918728,119378,1935994,153510,314885,1
AZ,4,2018,8135,1427849.5152647598,0.27221180608898976,2030069.8457816367,0.37414556425025247,3049857.1308826385,0.9835170155247971,990998.8512833614,0.3279227388691004,386508.2163521484,0.3211375768304602,7158024,12.8,4.7,319226300,10.5,18.83781,11.21666,4.60154,845733,118534,1864623,149513,313831,1
AZ,4,2019,9111,1520312.1613354764,0.2829170426497399,2236923.494133511,0.39692395082091836,3106956.5348614533,0.9812439611702359,1103493.3139905462,0.35901055272895604,517596.3850763661,0.40000220984665463,7278717,9.9,4.7,335243100,12,21.80375,12.99242,2.56458,736883,119424,1861477,141959,312207,1
AZ,4,2020,10315,1387309.1098402978,0.2570456364395104,2196664.3746163147,0.3838798372599619,3124276.731977131,0.9810406362940494,1024357.791291836,0.33222245987666055,395556.4255958485,0.3537304794280009,7187135,10.9,7.8,374282400,12,19.82094,11.53472,4.02985,833448,118747,1977681,141707,276460,1
AZ,4,2021,10639,1537096.04386887,0.2900431730576228,1741233.7506402733,0.32242379753114836,3131350.244461097,0.9817991672518007,897569.8440459097,0.29610978419830986,378615.8984710659,0.3012752790459505,7274078,12.6,5,415893100,12.15,15.6211,9.45684,2.57899,879123,114713,2193071,141778,145753,1
AZ,4,2022,8993,1535836.5545154447,0.32386708613713605,1649675.1139515003,0.3372216059415058,3074589.2594520976,0.9838708175447228,884688.4065403794,0.3007258146632974,406449.4718053963,0.31809238115140176,7377566,12.7,3.8,435718700,12.8,25.47576,12.90132,4.6057,825666,112371,2384231,141049,313516,1
AZ,4,2023,12541,1809027.9129293577,0.30578236820402493,1798428.4597822614,0.3061370727818688,3643225.5514730257,0.9842300290095845,938825.2516329903,0.27198273331962547,438978.28772283817,0.3037145178311379,7473027,11.9,3.7,471040200,13.85,21.93135,12.3928,5.53162,898016,111780,2306406,149248,254333,1
AZ,4,2024,9286,1817512.4427375311,0.30622024140982934,1905693.6755017762,0.31630414783939376,3716127.1234438033,0.9872978046576093,993227.0501051729,0.2801099844207899,440417.53630723216,0.30406557429351,7582384,10.1,3.6,498903600,14.35,23.08115,14.64788,4.85352,923400,112402,2167329,152961,271318,1
