model,cv_ROC,cv_threshold,cv_BalAcc,cv_sens,cv_spec,test_ROC,test_BalAcc,test_sens,test_spec
Baseline pooled OLS,NA,0.5,NA,NA,NA,0.4851851851851852,0.46944444444444444,0.8055555555555556,0.13333333333333333
Ridge,0.7043995140576185,0.51,0.6870878167303021,0.746268656716418,0.627906976744186,0.5740740740740741,0.47777777777777775,0.8888888888888888,0.06666666666666667
Lasso,0.7029677195418259,0.49,0.6675633460603957,0.753731343283582,0.5813953488372093,0.5500000000000002,0.49166666666666664,0.9166666666666666,0.06666666666666667
Decision Tree,0.6376258243665395,0.38,0.62070461645262065,0.6716417910447762,0.5697674418604651,0.4962962962962964,0.5611111111111111,0.7222222222222222,0.4
Random Forest,0.7007549461992368,0.36,0.6604477611940298,0.8208955223880597,0.5,0.6555555555555554,0.49722222222222223,0.8611111111111112,0.13333333333333333
